name,l,b,Vlos,Vlos_err,ref_velocity,D_mod,D_mod_err,ref_Distance
Andromeda VI,106.0443067,-36.3252343,-341.6,1.7,Pickett2025MNRAS.540.1701P,24.6,0.06,Savino2022ApJ...938..101S
Andromeda VII,109.466542,-9.9592504,-307.2,1.3,Tollerud2012ApJ...752...45T,24.58,0.06,Savino2022ApJ...938..101S
Andromeda IX,123.2129622,-19.6717852,-209.4,2.5,Tollerud2012ApJ...752...45T,24.23,0.06,Savino2022ApJ...938..101S
Andromeda X,125.7565351,-17.9811311,-164.1,1.7,Tollerud2012ApJ...752...45T,24,0.06,Savino2022ApJ...938..101S
Andromeda XI,121.7176372,-29.0569203,-427.5,3.5,Collins2013ApJ...768..172C,24.38,0.07,Savino2022ApJ...938..101S
Andromeda XII,122.0008241,-28.487357,-557.1,1.7,Collins2013ApJ...768..172C,24.28,0.07,Savino2022ApJ...938..101S
Andromeda XIII,123.0315552,-29.8672279,-185.4,2.4,Tollerud2012ApJ...752...45T,24.57,0.07,Savino2022ApJ...938..101S
Andromeda XIV,122.9696579,-33.1820169,-480.6,1.2,Tollerud2012ApJ...752...45T,24.44,0.06,Savino2022ApJ...938..101S
Andromeda XV,127.8736636,-24.5325122,-323,1.4,Tollerud2012ApJ...752...45T,24.37,0.05,Savino2022ApJ...938..101S
Andromeda XVI,124.9079905,-30.4646825,-367.3,2.8,Tollerud2012ApJ...752...45T,23.57,0.08,MartinezVazquez2017ApJ...850..137M
Andromeda XVII,120.2299308,-18.4734792,-251.6,2,Collins2013ApJ...768..172C,24.4,0.07,Savino2022ApJ...938..101S
Andromeda XVIII,113.8875953,-16.9183231,-337.2,1.4,Kvasova2024ApJ...972..180K,25.36,0.08,Higgs2021MNRAS.503..176H
Andromeda XIX,115.5916832,-27.372483,-109,1.6,Collins2020MNRAS.491.3496C,24.55,0.08,Savino2022ApJ...938..101S
Andromeda XX,112.8714594,-26.8852006,-456.2,3.6,Collins2013ApJ...768..172C,24.35,0.08,Savino2022ApJ...938..101S
Andromeda XXI,111.917465,-19.1865901,-363.4,1,Collins2021MNRAS.505.5686C,24.44,0.07,Savino2022ApJ...938..101S
Andromeda XXII,132.5887509,-34.1010952,-129.8,2,Collins2013ApJ...768..172C,24.39,0.07,Savino2022ApJ...938..101S
Andromeda XXIII,130.9882484,-23.5540633,-237.7,1.4,Pickett2025MNRAS.540.1701P,24.36,0.07,Savino2022ApJ...938..101S
Andromeda XXIV,127.7968208,-16.2452569,-128.2,5.2,Collins2013ApJ...768..172C,23.92,0.07,Savino2022ApJ...938..101S
